rsi_timeperiod,rsi_lower,rsi_width,roc_timeperiod,roc_lower,roc_width,rebalance_freq,value
5,90,30,21,0.086906175,2,8,0.067393264
5,90,30,22,0.089950491,2,9,0.582136522
5,90,26,21,0.077212786,2,9,0.762420097
5,0,30,20,0.034183646,1.999952783,3,0.747416427
5,90,30,21,0.085132839,2,9,0.762420097
5,0,30,20,0.010714469,2,3,0.62226985
11,33,28,21,0.256965328,2,4,0.442297313
5,90,30,20,0.057062175,2,9,0.530244668
37,90,30,20,0.086821446,1.525100916,6,NA
5,42,30,21,0.269258998,0.05,4,0.487341083
5,0,30,20,0.026183644,2,3,0.851002796
5,84,30,21,0.084672563,2,12,0.72353758
126,49,26,21,0.269891851,2,4,NA
21,34,30,21,0.291057628,2,5,0.138826091
126,42,30,20,0.269897784,2,4,0.27689937
5,35,26,21,0.259809806,2,5,0.454937263
74,85,29,21,0.091945348,1.086989162,12,NA
5,83,30,21,0.08944638,2,12,0.69487584
5,90,30,21,0.091496756,0.530865799,12,0.570189619
5,90,30,21,0.131612644,0.05,9,0.438204668
5,78,30,20,0.120122157,2,9,-0.115680755
5,90,30,21,0.119463,2,9,0.65514233
5,77,29,22,0.120194019,2,9,0.113654396
5,87,30,21,0.091063378,1.310393423,12,0.916847313
5,80,30,21,0.119935103,2,10,0.496520654
5,86,30,21,0.094337001,0.05,12,0.885528114
5,68,30,21,0.110407561,0.714327727,9,0.063461823
5,86,30,21,0.103334158,0.05,12,0.769377908
5,32,27,22,0.259749427,2,5,0.443525092
5,77,30,21,0.120398487,1.112137099,9,0.470343087
5,86,30,22,0.094198968,0.05,12,0.695838205
67,41,26,21,0.294167172,0.705024189,5,0.378523623
73,74,30,21,0.138409622,1.626720876,9,NA
5,86,30,21,0.092406403,0.05,12,0.885528114
5,84,30,21,0.105922734,2,9,0.54147204
126,30,30,19,0.268063454,2,7,0.364283266
5,90,30,21,0.101908938,2,12,0.570189619
5,90,30,21,0.109482446,2,9,0.762420097
66,33,30,21,0.281463025,0.580234696,5,0.378523623
5,75,30,21,0.097923343,2,12,0.235760341
5,44,28,20,0.245184694,2,5,0.184621081
5,31,30,18,0.273179129,1.023232741,6,0.364751728
113,19,30,19,0.3,0.662473331,7,0.359771158
5,90,30,20,0.084629097,2,9,0.762420097
126,22,26,22,0.249878044,2,5,0.237440346
5,80,30,21,0.131071754,0.05,9,0.128155768
5,87,30,21,0.125735816,1.951223218,9,0.158434289
5,75,30,21,0.11195994,2,9,0.403507306
5,86,30,21,0.11152472,2,9,0.54147204
5,90,30,23,0.093536736,2,9,0.461377063
5,90,30,21,0.126037296,1.456220054,9,0.438204668
5,84,30,21,0.120132319,1.814159486,9,0.428557063
5,90,30,22,0.09893688,2,9,0.582136522
37,33,30,17,0.296195213,2,6,0.364751728
126,22,30,21,0.242992454,2,4,0.366675175
126,38,26,21,0.251799367,2,5,0.299748583
67,26,28,21,0.249104162,2,4,0.366675175
5,90,30,22,0.087145833,2,9,0.461377063
5,84,30,21,0.125401418,1.615587546,9,0.158434289
5,81,30,21,0.113302372,2,9,0.428557063
5,90,30,21,0.112576483,2,9,0.65514233
5,90,30,20,0.087554917,2,7,0.533324497
99,38,30,22,0.130915595,0.826471745,6,0.029414558
5,0,30,20,0.021915926,2,3,0.801093774
101,29,30,19,0.267865173,0.191449379,6,0.581076131
7,31,29,17,0.232946318,0.05,6,-0.421062058
126,26,28,19,0.268200297,0.05,5,-0.360151264
91,41,29,21,0.267514031,1.06376305,6,-0.217834995
68,30,28,20,0.272139386,1.245394144,6,0.333631631
75,33,28,19,0.273298374,0.05,7,0.295988139
100,29,30,14,0.243951469,1.796837262,6,-0.050519011
69,30,29,20,0.256540306,1.25092511,6,0.174527046
88,31,29,15,0.234426766,0.385554216,6,0.334982114
11,33,29,18,0.265267266,1.488743617,6,0.364751728
5,87,30,21,0.098866557,0.168254501,12,0.810424216
70,33,29,19,0.268020938,0.577014419,6,0.581076131
5,43,28,21,0.273983948,0.05,5,0.345552255
5,82,30,21,0.099466717,2,12,0.595382961
51,27,28,21,0.256248031,2,5,0.387835386
118,32,30,19,0.2757428,2,7,0.359771158
76,47,30,22,0.296317323,2,4,0.046405819
122,25,30,17,0.274368725,0.05,7,-0.06918906
52,44,29,22,0.275203138,2,4,0.270706855
5,90,29,21,0.085152746,2,9,0.762420097
5,90,30,21,0.095927868,2,12,0.570189619
54,90,29,21,0.063647381,1.00758634,9,NA
113,90,29,21,0.111422696,2,12,NA
17,38,28,21,0.233329814,2,5,0.279349591
126,22,29,22,0.286450744,0.05,5,-0.099578492
48,25,28,18,0.27279956,2,7,0.351188302
42,90,30,21,0.111011181,2,13,NA
54,90,30,21,0.032213976,2,9,NA
42,18,28,21,0.234949371,2,5,-0.107138458
85,37,29,21,0.262813065,1.826985124,4,0.367290844
113,22,30,19,0.277099689,0.071456134,7,0.295988139
5,45,29,21,0.271215628,0.135967975,4,0.487341083
37,27,27,21,0.242096705,2,5,0.347639773
5,85,30,20,0.07727062,2,9,0.344457012
126,27,28,21,0.283620108,1.697353985,5,0.378523623
5,90,30,20,0.077482097,2,9,0.762420097
126,40,30,21,0.28690684,2,5,0.378523623
5,90,29,21,0.076707844,2,9,0.762420097
5,41,30,20,0.26174384,2,5,0.283619607
5,90,30,21,0.148287988,2,8,-0.12127057
5,90,29,20,0.07719643,2,9,0.762420097
113,32,30,18,0.273145958,0.745714294,7,0.474345663
5,90,30,20,0.063718699,2,9,0.606002018
5,0,30,20,0.039684815,2,3,0.370768068
5,90,30,22,0.07774338,2,9,0.399593191
5,43,28,21,0.264743216,2,5,0.387835386
5,90,30,22,0.064414926,2,10,-0.539028677
5,90,30,21,0.083291796,2,9,0.762420097
13,90,30,21,0.04661848,2,9,NA
5,90,30,21,0.066530322,2,9,0.599322557
5,90,30,21,0.107293116,2,12,0.570189619
5,90,30,21,0.060791817,2,9,0.486143792
5,90,30,21,0.079644704,2,9,0.762420097
5,90,30,20,0.078198616,2,8,0.01074932
5,90,30,21,0.094658285,2,10,0.351072024
84,28,30,21,0.233872433,2,5,0.352459961
5,90,30,21,0.073175156,2,9,0.651338832
126,26,30,21,0.27860576,0.284819086,5,0.378523623
126,26,28,23,0.3,2,5,0.234927603
5,90,30,21,0.126436879,2,12,NA
126,26,30,19,0.295855359,0.309941208,7,0.359771158
5,90,30,22,0.115299319,2,12,NA
53,0,30,20,0.024304081,2,3,NA
50,50,30,21,0.113682031,0.05,6,0.13068105
17,90,30,21,0.104365413,1.996136157,9,NA
87,24,30,18,0.294485138,1.953088153,7,0.474345663
99,25,30,18,0.29913539,1.956324903,6,0.364751728
87,26,29,18,0.289354409,1.953844122,6,0.364751728
5,40,30,21,0.254542178,2,5,0.387835386
112,25,29,25,0.291149616,1.738809405,5,0.234927603
5,90,30,21,0.100064367,2,8,0.048191416
76,0,30,21,0.3,2,4,NA
5,90,30,20,0.113347561,2,12,NA
5,80,30,20,0.024355633,2,3,-0.734536273
95,0,30,19,0.3,2,5,NA
12,82,30,22,0.118103884,0.433545639,12,NA
78,0,30,23,0.3,2,4,NA
101,0,30,19,0.296318942,1.728587212,7,NA
8,64,30,21,0.261277367,2,5,-0.190571166
86,0,30,24,0.260343535,1.237024494,5,NA
79,0,30,24,0.3,1.487988411,5,NA
54,20,30,21,0.244748709,1.156327063,5,0.330558967
5,0,29,20,0.024286203,2,3,0.761608719
102,90,30,21,0.265837634,1.584437871,5,NA
5,90,30,22,0.091354766,2,9,0.582136522
99,0,30,20,0.287476255,0.66477879,5,NA
21,59,30,20,0.090055227,2,9,-0.034433913
94,27,30,17,0.3,1.911601611,6,0.364751728
14,73,30,21,0.09050387,2,8,0.012511099
126,90,30,21,0.3,1.824019367,5,NA
126,0,30,21,0.278660332,1.783632177,5,NA
104,0,30,23,0.279805086,1.956939734,5,NA
5,0,30,20,0.269666614,1.890191647,5,NA
5,0,30,20,0.031051308,1.999997813,3,0.753683606
5,90,30,21,0.119941386,2,8,0.048191416
5,46,30,21,0.267506656,2,4,0.465420208
5,0,30,20,0.074145775,1.999999964,3,NA
5,0,30,20,0.024235927,2,3,0.936387241
5,90,30,21,0.087553221,2,9,0.762420097
5,90,30,21,0.102304655,2,9,0.762420097
73,29,30,23,0.292554247,2,5,0.234927603
5,90,30,21,0.100225808,2,9,0.762420097
67,49,30,21,0.254659951,1.455270548,5,0.148666282
5,90,30,21,0.099378158,2,6,0.155018652
5,90,30,21,0.104448318,2,11,0.045200023
5,88,30,21,0.116449041,1.928097055,9,0.428557063
5,0,30,20,0.026959949,2,4,0.424930375
5,90,30,21,0.105579215,2,9,0.762420097
91,24,30,18,0.296359867,1.528805514,12,0.130134513
5,90,30,21,0.114804921,1.99949618,12,0.570189619
5,46,30,21,0.269526405,2,5,0.473215354
5,47,30,21,0.181097739,1.634891368,5,0.073315944
126,21,30,21,0.287265803,1.514086198,4,0.35541249
126,37,30,21,0.3,2,4,0.349118264
126,36,30,23,0.3,0.05,5,-0.117881422
126,44,30,23,0.256292536,0.05,5,-0.311591654
126,41,30,23,0.296421204,1.342011241,5,0.234927603
56,28,30,20,0.023466439,1.506647202,3,-0.765149174
71,0,30,17,0.26324915,1.939314587,6,NA
60,0,30,18,0.298225223,0.05,7,NA
126,53,30,18,0.282447314,2,5,NA
76,0,30,22,0.283613292,2,5,NA
126,0,30,20,0.296497141,2,5,NA
51,51,30,24,0.298839703,2,5,0.234927603
68,0,30,20,0.287413314,2,5,NA
126,0,30,21,0.294536963,0.05,5,NA
126,0,30,24,0.3,0.429557637,5,NA
95,24,30,18,0.3,1.954879854,7,0.474345663
110,25,30,21,0.291066209,1.739184348,5,0.378523623
98,25,30,21,0.289321989,1.854983316,4,0.35541249
117,32,30,16,0.28519559,2,7,-0.06918906
5,90,30,21,0.160126167,2,8,-0.12127057
74,35,30,16,0.2779215,1.721459819,5,-0.170314977
126,50,29,21,0.3,0.619986375,6,NA
5,7,30,20,0,2,3,-0.302282545
98,26,30,18,0.286607361,1.710133737,7,0.474345663
126,32,30,17,0.196649471,2,4,-0.2584713
5,50,30,21,0.137602058,0.05,6,0.30200908
5,35,30,21,0.248580545,0.05,5,0.032705997
126,27,30,23,0.3,2,4,0.23356939
78,18,12,38,0.293626257,1.617865068,20,NA
126,58,30,14,0.3,1.254740678,5,NA
27,0,30,25,0.233107738,2,8,NA
126,0,30,17,0.3,2,8,NA
5,5,30,18,0.3,0.05,6,NA
117,37,30,21,0.270141696,2,5,0.373404766
