rsi_timeperiod,rsi_lower,rsi_width,roc_timeperiod,roc_lower,roc_width,rebalance_freq,value
52,33,21,51,0.250213405,1.756062063,16,NA
88,80,19,6,0.260462824,0.198668039,19,NA
34,22,18,49,0.288296584,1.643039229,9,NA
47,33,19,49,0.198077162,1.75889103,16,NA
42,32,18,53,0.065706687,1.901332726,16,NA
52,28,21,49,0.095834693,1.581104268,13,NA
91,71,10,23,0.069821826,1.171390716,21,NA
46,15,13,60,0.00246399,1.315923409,6,NA
31,84,19,25,0.122354877,0.206365323,5,NA
77,6,28,16,0.270806834,0.452749318,10,NA
19,44,23,5,0.157054696,0.999689363,14,NA
25,49,24,52,0,0.16395461,16,0.946241881
25,49,25,52,0,0.459789877,16,0.898182344
26,50,23,52,8.91E-05,0.253407316,17,0.882884738
25,49,21,52,0.000143338,1.105878474,17,0.877589193
25,49,25,52,0,0.91220613,16,0.876209608
25,49,25,52,0,1.420211384,16,0.876209608
25,49,24,52,0,1.002259456,15,0.876209608
21,50,24,51,0.00024584,0.083476822,16,0.871410764
22,49,21,52,0,1.006298117,17,0.869856615
23,49,25,52,0,0.605512204,16,0.86697442
23,49,25,52,0,1.436383269,17,0.86697442
22,49,22,52,0,0.196779295,17,0.866746071
20,50,22,52,0.000130833,0.169333384,17,0.864717367
26,50,23,52,0,0.46437265,16,0.862785515
25,49,22,52,0,1.13814523,15,0.861723829
22,50,21,52,0,1.088591403,17,0.859743264
27,49,23,53,0,1.430857291,16,0.857488647
26,49,23,53,0,1.334608256,15,0.857113387
26,49,23,52,0,1.450767788,16,0.856553887
23,49,24,52,0,1.407566253,15,0.85626514
22,49,22,52,0,1.119704779,15,0.854651645
27,49,23,52,8.13E-05,0.430902053,17,0.854237028
22,49,22,52,0.000241368,0.450581931,17,0.852343425
26,49,19,53,0,1.540708333,16,0.852073416
26,49,21,52,9.39E-05,1.091124505,17,0.848656672
26,49,21,52,0,0.8154132,18,0.848656672
26,49,22,52,0,1.288016139,16,0.848656672
26,49,21,52,0,1.367160798,16,0.848656672
26,49,22,52,9.14E-05,1.298371051,15,0.848656672
22,49,24,52,0,1.057691292,16,0.848485519
22,49,24,52,0,0.951436839,17,0.848485519
22,49,23,52,0,1.409395116,17,0.848485519
27,49,22,53,0,1.443197005,15,0.847991799
23,49,19,52,0,1.274261494,17,0.846151098
24,49,24,53,0,1.530326387,17,0.84599414
22,50,23,52,0.000213994,0.319582869,16,0.845967871
24,49,25,52,0,0.750437903,15,0.845810004
22,49,21,52,0.000252374,1.219753204,17,0.844577709
25,49,21,53,0.000243546,0.788879262,17,0.84397623
21,49,22,51,0,0.081690062,16,0.843853805
